"Quantity","Part Name","Link"
"4","100nF Capacitor","https://uelectronics.com/producto/c0603x104k050t-capacitor-ceramico-0603-100nf-50v/"
"2","Button","https://www.amazon.com.mx/pulsador-interruptor-momentáneo-microinterruptor-automático/dp/B0DBGMNQV1"
"2","10nF Capacitor","https://uelectronics.com/producto/capacitor-ceramico-0805-10uf-16v-cl21a106koqnnne/"
"2","5.1k Resistors","https://www.digikey.com.mx/es/products/detail/yageo/RC0603FR-135K1L/14008317"
"2","10k Resistors","https://uelectronics.com/producto/resistor-10k-ohm-1-10w-smd-0603-rc0603fr-0710kl/"
"1","3.3v Regulator","https://www.digikey.com.mx/es/products/detail/evvo/AMS1117-3.3/22482148"
"1","15µH Inductor","https://www.mouser.mx/ProductDetail/TAIYO-YUDEN/LSXND4040KKL150MDG"
"1","USB-C","https://es.aliexpress.com/item/1005005371954812.html"
"1","SX1262","https://www.amazon.com.mx/Taidacent-transceptor-inalámbrico-Transceptor-aplicaciones/dp/B083NVDGGD"
"1","ESP32-S3-WROOM-1","https://www.digikey.com.mx/es/products/detail/espressif-systems/ESP32-S3-WROOM-1U-N8R8/16162638"
